Resist voltmetro,x 1,xerr 1,y 1,yerr 1,Resist amperom,x 2,xerr 2,y 2,yerr 2,Verifica Ohm,x 3,xerr 3,y 3,yerr 3,Parallello,x 4,xerr 4,y 4,yerr 4,Serie,x 5,xerr 5,y 5,yerr 5,Diodo,x 6,xerr 6,y 6,yerr 6,Partitore,x 7,xerr 7,y 7,yerr 7,Fit lineare,x 8,xerr 8,y 8,yerr 8,,x 9,y 9,yerr 9,,x 10,y 10,yerr 10,,x 11,y 11,yerr 11,,x 12,y 12,yerr 12,,x 13,y 13,yerr 13,,x 14,y 14,yerr 14,,x 15,y 15,yerr 15,,x 16,y 16,yerr 16,,x 17,y 17,,x 18,y 18,yerr 18
,0.62,0.029046492043,0.51,0.002626943725,,9.6,0.005080682369,0.112,0.001478016689,,0.109,0.002340866666,0.219,0.001786899083,,0.32,0.00240177712,0.213,0.001769578575,,0.06835,4.8598459E-05,0.204,0.001743597813,dopo scatto,0.703,0.003184086735,7.68,0.025311035801,,10,0.05773618162,0.336,0.002124648991,,0.81,0.003492969129,251.9,0.52595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.22,0.029219697124,1.014,0.004081866403,,18.128,0.007542503917,0.209,0.00175803157,,0.207,0.00236915683,0.415,0.002352702347,,0.628,0.002490689061,0.417,0.00235847585,,0.13394,6.7532661E-05,0.4,0.002309401077,,0.753,0.003328424302,35.27,0.033275582765,,25,0.144338721998,0.42,0.002367136104,,0.811,0.00349585588,277.1,0.53855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.82,0.029392902204,1.519,0.005539675833,,26.734,0.010026842125,0.309,0.002046706704,,0.309,0.002398601693,0.62,0.002944486373,,0.933,0.002578734977,0.619,0.002941599622,,0.20104,8.6902763E-05,0.6,0.002886751346,,0.779,0.003403479837,77.52,0.045472107201,,50,0.288676289295,0.458,0.002476832655,,0.814,0.003504516134,302.3,0.55115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.42,0.029566107285,2.033,0.007023466025,,35.46,0.012545821349,0.409,0.002335381839,,0.41,0.002427757882,0.82,0.003521836642,,1.23,0.002664471492,0.816,0.003510289637,,0.26481,0.000105311576,0.791,0.003438120853,,0.793,0.003443894356,125.91,0.059441096964,,100,0.57735142389,0.479,0.002537454433,,0.816,0.003510289637,331.5,0.56575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.01,0.029736425615,2.521,0.008432200682,,40.202,0.013914718838,0.464,0.002494153163,,0.511,0.002456914071,1.021,0.004102073663,,1.538,0.002753383434,1.02,0.004099186911,,0.33115,0.000124462284,0.989,0.00400969762,,0.803,0.003472761869,175.2,0.073669894349,,250,1.443376827675,0.493,0.002577868952,,0.817,0.003513176388,354.1,0.57705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.62,0.029912517447,3.019,0.009869802852,,44.35,0.015112143296,0.512,0.002632717228,,0.609,0.002485204234,1.216,0.004664990175,,1.835,0.002839119949,1.217,0.004667876926,,0.39593,0.000143162659,1.182,0.004566840629,,0.808,0.003487195626,227.2,0.088681001348,,500,2.886752500649,0.498,0.002592302709,,0.819,0.003518949891,382.3,0.59115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8,0.030253154106,4.015,0.012745007192,,,,,,,0.708,0.002513783072,1.415,0.005239453693,,2.138,0.002926588515,1.417,0.005245227196,,0.45965,0.000161557039,1.373,0.005118210136,,0.81,0.003492969129,251.9,0.095811277172,,750,4.330128173623,0.5,0.002598076211,,0.82,0.003521836642,404.3,0.60215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.99,0.030596677516,5.015,0.015631758538,,,,,,,0.809,0.002542939261,1.616,0.005819690713,,2.442,0.003014345755,1.619,0.005828350967,,0.5259,0.000382754361,1.57,0.005686900152,,0.811,0.00349585588,277.1,0.103085890564,,1000,5.773503846597,0.501,0.002600962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.908,0.002571518099,1.815,0.006394154231,,2.741,0.003100659621,1.817,0.006399927734,,0.5882,0.000400738822,1.757,0.006226722653,,0.814,0.003504516134,302.3,0.110360503956,,1100,6.350854115786,0.501,0.002600962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.008,0.002600385612,2.015,0.0069715045,,3.032,0.003184664085,2.01,0.006957070744,,0.654,0.000419733646,1.953,0.006792525917,,0.816,0.003510289637,331.5,0.118789817886,,5,0.02886866816,0.252,0.001882161878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.108,0.002629253126,2.213,0.007543081267,,3.334,0.003271843975,2.214,0.007545968018,,0.7177,0.000438122252,2.143,0.007341008673,,0.817,0.003513176388,354.1,0.125313875928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
