Verifica Ohm,x 1,y 1,yerr 1,Parallelo,x 2,y 2,yerr 2,Serie,x 3,y 3,yerr 3,"Diodo, prima scatto",x 4,y 4,yerr 4,"Diodo, dopo scatto",x 5,y 5,yerr 5,,x 6,y 6,yerr 6,,x 7,y 7,yerr 7,,x 8,y 8,yerr 8,Res Voltmetro,x 9,y 9,yerr 9,Res amperometr,x 10,y 10,yerr 10,,x 11,y 11,yerr 11,,x 12,y 12,yerr 12,,x 13,y 13,yerr 13,"Da 9, accuratezza strumento",x 14,y 14,yerr 14,"Come prima, più dist unif",x 15,y 15,yerr 15
,0.109,0.219,0.001,,0.32,0.213,0.001,,0.06835,0.204,0.001,,0.213,2E-05,1E-05,Tutti valori,0.703,7.68,0.01,No piccoli,0.79,111.8,1,No piccoli,0.803,175.2,0.1,Prima e dopo,0.213,2E-05,1E-05,,0.62,0.51,0.01,,0.0096,0.112,0.001,,0.803,175.2,0.1276,,0.751,35.56,0.02178,,0.81,251.9,0.52595,,0.62,0.51,0.02255,,0.62,0.51,0.013019248570226
,0.207,0.415,0.001,,0.628,0.417,0.001,,0.13394,0.4,0.001,,0.413,0.00182,1E-05,,0.753,35.27,0.01,,0.808,227.2,1,No grandi,0.808,227.2,0.1,,0.413,0.00182,1E-05,,1.22,1.014,0.005,,0.018128,0.209,0.001,,0.808,227.2,0.1536,,0.793,123.44,0.10172,,0.811,277.1,0.53855,,1.22,1.014,0.00707,,1.22,1.014,0.004081866403171
,0.309,0.62,0.001,,0.933,0.619,0.001,,0.20104,0.6,0.001,,0.588,0.258,0.001,,0.779,77.52,0.01,,0.81,251.9,1,,0.81,251.9,0.1,,0.588,0.258,0.001,,1.82,1.519,0.005,,0.026734,0.309,0.001,,0.81,251.9,0.16595,,0.808,222.1,0.15105,,0.814,302.3,0.55115,,1.82,1.519,0.009595,,1.82,1.519,0.005539675832874
,0.41,0.82,0.001,,1.23,0.816,0.001,,0.26481,0.791,0.001,,0.63,0.8606,0.001,,0.793,125.91,0.01,,0.811,277.1,1,,0.811,277.1,0.1,,0.63,0.8606,0.0001,,2.42,2.033,0.005,,0.03546,0.409,0.001,,0.811,277.1,0.17855,,0.816,322.9,0.20145,,0.816,331.5,0.56575,,2.42,2.033,0.012165,,2.42,2.033,0.007023466024692
,0.511,1.021,0.001,,1.538,1.02,0.001,,0.33115,0.989,0.001,,0.651,1.622,0.001,,0.803,175.2,0.1,,0.814,302.3,1,,0.814,302.3,0.1,,0.651,1.622,0.001,,3.01,2.521,0.005,,0.040202,0.464,0.001,,0.814,302.3,0.19115,,0.821,423.61,0.251805,,0.817,354.1,0.57705,,3.01,2.521,0.014605,,3.01,2.521,0.008432200681514
,0.609,1.216,0.001,,1.835,1.217,0.001,,0.39593,1.182,0.001,,0.666,2.505,0.001,,0.808,227.2,0.1,,0.816,331.5,1,,0.816,331.5,0.1,,0.666,2.505,0.001,,3.62,3.019,0.005,,0.04435,0.512,0.001,,0.82,404.3,0.24215,,0.739,24.54,0.05227,,0.819,382.3,0.59115,,3.62,3.019,0.017095,,3.62,3.019,0.009869802851797
,0.708,1.415,0.001,,2.138,1.417,0.001,,0.45965,1.373,0.001,,0.676,3.362,0.001,,0.81,251.9,0.1,,0.817,354.1,1,,0.817,354.1,0.1,,0.676,3.362,0.001,,4.8,4.015,0.005,,,,,,0.79,111.8,0.0959,,0.754,37.71,0.058855,,0.82,404.3,0.60215,,4.8,4.015,0.022075,,4.8,4.015,0.012745007192361
,0.809,1.616,0.001,,2.442,1.619,0.001,,0.5259,1.57,0.001,,0.684,4.343,0.001,,0.811,277.1,0.1,,0.819,382.3,1,,0.819,382.3,0.1,,0.684,4.343,0.001,,5.99,5.015,0.005,,,,,,0.797,148.2,0.1141,,0.764,51.21,0.065605,,,,,,5.99,5.015,0.027075,,5.99,5.015,0.015631758538309
,0.908,1.815,0.001,,2.741,1.817,0.001,,0.5882,1.757,0.001,,0.688,4.812,0.001,,0.814,302.3,0.1,,0.803,175.2,1,,0.797,148.2,0.1,,0.688,4.812,0.001,,,,,,,,,,0.8,168,0.124,,0.774,69.52,0.07476,,,,,,,,,,,,
,1.008,2.015,0.001,,3.032,2.01,0.001,,0.654,1.953,0.001,,,,,,0.816,331.5,0.1,,0.797,148.2,1,,0.8,168,1,,0.703,7.68,0.01,,,,,,,,,,0.804,196,0.138,,0.781,85.83,0.082915,,,,,,,,,,,,
,1.108,2.213,0.001,,3.334,2.214,0.001,,0.7177,2.143,0.001,,,,,,0.817,354.1,0.1,,0.8,168,1,,0.804,196,1,,0.753,35.27,0.01,,,,,,,,,,0.809,239,0.1595,,,,,,,,,,,,,,,,
,1.212,2.421,0.001,,3.644,2.419,0.001,,0.7823,2.336,0.001,,,,,,0.819,382.3,0.1,,0.804,196,1,,0.809,239,1,,0.779,77.52,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.312,2.621,0.001,,3.944,2.614,0.001,,0.8477,2.531,0.001,,,,,,0.82,404.3,0.5,,0.809,239,1,,,,,,0.793,125.91,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.41,2.815,0.001,,4.243,2.812,0.001,,0.9137,2.728,0.001,,,,,,0.82,436,1,,0.82,404.3,3,,,,,,0.803,175.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.513,3.019,0.001,,4.544,3.01,0.001,,0.9778,2.92,0.001,,,,,,0.79,111.8,1,,,,,,,,,,0.808,227.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.611,3.214,0.001,,4.84,3.207,0.001,,1.0424,3.113,0.001,,,,,,0.797,148.2,0.1,,,,,,,,,,0.81,251.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.712,3.418,0.001,,5.14,3.405,0.001,,1.1067,3.305,0.001,,,,,,0.8,168,1,,,,,,,,,,0.811,277.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.813,3.619,0.001,,5.449,3.61,0.001,,1.1719,3.5,0.001,,,,,,0.804,196,1,,,,,,,,,,0.814,302.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.913,3.819,0.001,,5.744,3.805,0.001,,1.2363,3.692,0.001,,,,,,0.809,239,1,,,,,,,,,,0.816,331.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.112,4.216,0.001,,6.051,4.009,0.001,,1.3032,3.892,0.001,,,,,,,,,,,,,,,,,,0.817,354.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.352,4.208,0.001,,1.3679,4.085,0.001,,,,,,,,,,,,,,,,,,0.819,382.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,404.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,436,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,111.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797,148.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804,196,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.809,239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
