RL,x 1,xerr 1,y 1,yerr 1,RC,x 2,xerr 2,y 2,yerr 2,RLC,x 8,xerr 8,y 8,yerr 8,,x 9,xerr 9,y 9,yerr 9,,x 10,xerr 10,y 10,yerr 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x 11,xerr 11,y 11,yerr 11,,x 12,y 12,yerr 12,,x 13,y 13,yerr 13,,x 14,y 14,yerr 14,,x 15,y 15,yerr 15,,x 16,y 16,yerr 16,,x 17,y 17,,x 18,y 18,yerr 18
x milli sec,0.06,4.8497423E-06,1,0.023094010767585,x sec,0.012,6.94206E-07,2,0.1789785834,Sottosmorz,0.04,0.001157356349618,20,0.346987511782965,Crit smorz,0.02,0.001156201649079,0.3,0.019629909152447,Sovrasmorz,0.008,0.001155508828756,0.08,0.015819397375796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y Volt,0.08,6.0044428E-06,0.8,0.019629909152447,y volt,0.024,1.387026E-06,3.8,0.210155498,x milli sec,0.06,0.001158511050156,28,0.485551576388475,x milli sec,0.04,0.001157356349618,0.64,0.025518881898182,x milli sec,0.012,0.001155739768864,0.56,0.024133241252126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.108,7.6210236E-06,0.6,0.01616580753731,,0.034,1.964377E-06,5.2,0.2344042093,y milli V,0.1,0.001160820451233,43.2,0.748823299138945,y V,0.05,0.001157933699887,0.76,0.027597342867264,y V,0.016,0.001155970708971,0.94,0.030715034320888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.136,9.2376043E-06,0.44,0.013394526245199,,0.052,3.003607E-06,7.5,0.2742413779,,0.14,0.001163129852309,54.4,0.942812989586659,,0.07,0.001159088400425,0.96,0.031061444482402,,0.024,0.001156432589187,1.4,0.038682468035705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.176,1.1547005E-05,0.32,0.011316065276117,,0.066,3.811897E-06,8.8,0.2967580384,,0.18,0.001165439253386,62.4,1.08137705419217,,0.11,0.001161397801502,1.2,0.035218366420567,,0.032,0.001156894469402,1.66,0.043185800135384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.22,1.4087347E-05,0.22,0.009584014468548,,0.084,4.851128E-06,10.5,0.3262029021,,0.26,0.00117005805554,68,1.17837189941603,,0.13,0.00116255250204,1.28,0.036604007066622,,0.044,0.001157587289725,1.82,0.045957081427494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.252,1.5934867E-05,0.18,0.00889119414552,,0.104,6.005828E-06,11.9,0.3504516134,,0.3,0.001172367456616,66.4,1.15065908649492,,0.18,0.001165439253386,1.32,0.03729682738965,,0.06,0.001158511050156,1.88,0.046996311912036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.288,1.8013328E-05,0.16,0.008544783984006,,0.12,6.929589E-06,13,0.3695041723,,0.36,0.001175831558232,58.4,1.01209502188941,,0.23,0.001168326004732,1.28,0.036604007066622,,0.132,0.001162667972094,1.84,0.046303491589008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.316,1.9629909E-05,0.14,0.008198373822493,,0.136,7.853349E-06,13.8,0.3833605787,,0.4,0.001178140959308,49.6,0.859674550823353,,0.26,0.00117005805554,1.22,0.035564776582081,,0.32,0.001173522157155,1.72,0.044225030619925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.356,2.193931E-05,0.12,0.007851963660979,,0.16,9.23899E-06,14.9,0.4024131376,,0.44,0.001180450360385,40,0.69339767329674,,0.3,0.001172367456616,1.14,0.034179135936026,,0.48,0.001182759761462,1.62,0.042492979812357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.412,2.5172472E-05,0.12,0.007851963660979,,0.184,1.062463E-05,15.9,0.4197336457,,0.48,0.001182759761462,29.6,0.513264389309577,,0.38,0.00117698625877,0.96,0.031061444482402,,0.56,0.001187378563615,1.56,0.041453749327815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.484,2.9329394E-05,0.12,0.007851963660979,,0.212,1.224121E-05,16.9,0.4370541538,,0.5,0.001183914462,24,0.41626954408572,,0.41,0.001178718309578,0.9,0.030022213997861,,0.68,0.001194306766846,1.48,0.04006810868176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.468,2.8405633E-05,0.12,0.007851963660979,,0.236,1.362685E-05,17.4,0.4457144078,,0.52,0.001185069162539,18.4,0.319274698861863,,0.47,0.001182182411193,0.78,0.027943753028778,,0.84,0.001203544371153,1.4,0.038682468035705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.012,2.078461E-06,1.78,0.036604007066622,,0.29,1.674454E-05,18.2,0.4595708143,,0.56,0.001187378563615,8,0.1391414148747,,0.53,0.001185646512808,0.66,0.025865292059695,,0.96,0.001210472574383,1.32,0.03729682738965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.024,2.7712813E-06,1.54,0.032447085128457,,0.336,1.940035E-05,18.8,0.4699631191,,0.66,0.001193152066307,-16,0.276550778941831,,0.57,0.001187955913885,0.6,0.024826061575154,,1.28,0.001228947782997,1.14,0.034179135936026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.04,3.6950417E-06,1.28,0.027943753028778,,0.4,2.30954E-05,19.1,0.4751592715,,0.7,0.001195461467384,-24,0.415114843547341,,0.62,0.001190842665231,0.52,0.023440420929099,,1.48,0.001240494788381,1.06,0.032793495289971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.052,4.387862E-06,1.1,0.024826061575154,,0.438,2.528933E-05,19.3,0.4786233732,,0.76,0.001198925568999,-32,0.553678908152851,,0.67,0.001193729416576,0.46,0.022401190444558,,1.72,0.001254351194841,0.96,0.031061444482402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.462,2.667497E-05,19.4,0.480355424,,0.8,0.001201234970076,-35.2,0.609104533995055,,0.71,0.001196038817653,0.4,0.021361959960016,,1.84,0.001261279398072,0.9,0.030022213997861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.86,0.001204699071691,-37.6,0.650673753376708,,0.77,0.001199502919268,0.34,0.020322729475475,,2.08,0.001275135804532,0.82,0.028636573351805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.94,0.001209317873845,-34.4,0.595248127534504,,0.85,0.001204121721422,0.28,0.019283498990934,,2.36,0.00129130161207,0.72,0.026904522544237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.04,0.001215091376536,-24.8,0.428971250007892,,0.89,0.001206431122499,0.24,0.018590678667906,,2.6,0.00130515801853,0.64,0.025518881898182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.08,0.001217400777613,-19.2,0.331976404784035,,0.95,0.001209895224114,0.2,0.017897858344878,,3,0.001328252029298,0.52,0.023440420929099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.14,0.001220864879228,-12,0.207268746639076,,1.02,0.001213936675998,0.16,0.017205038021851,,3.44,0.001353655441142,0.42,0.02170837012153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.26,0.001227793082459,3.2,0.056002976111394,,1.08,0.001217400777613,0.14,0.016858627860337,,3.8,0.001374440050833,0.34,0.020322729475475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
