RC,Hz,x 1,xerr 1,y 1,yerr 1,,RL,kHz,x 2,xerr 2,y 2,yerr 2,,"RLC, R",Hz,x 3,xerr 3,y 3,yerr 3,,"RLC, C",Hz,x 4,xerr 4,y 4,yerr 4,,"RLC, L",kHz,x 5,xerr 5,y 5,yerr 5,,,,Fase,"RLC, R",Hz,x 6,xerr 6,y 6,yerr 6,,"RLC, C",Hz,x 7,xerr 7,y 7,yerr 7,,"RLC, L",kHz,x 8,xerr 8,y 8,yerr 8,,x 9,xerr 9,y 9,yerr 9,,x 10,xerr 10,y 10,yerr 10,,x 11,xerr 11,y 11,yerr 11,,x 12,y 12,yerr 12,,x 13,y 13,yerr 13,,x 14,y 14,yerr 14,,x 15,y 15,yerr 15,,x 16,y 16,yerr 16,,x 17,y 17,,x 18,y 18,yerr 18
x Hz,100,628.318530717959,3.6276E-06,0.67318982,0.00412058,,x kHz,10,62.8318530717959,3.6276E-06,0.772947,0.003525,,x Hz,20,125.663706143592,3.6276E-06,0.214736842,0.000719802,ZERO,x Hz,50,314.159265358979,3.6276E-06,0.86754967,0.00618394,,x kHz,1,6.28318530717959,3.6276E-06,0.11833333,0.00047728,,,,,x Hz,20,125.66370614,3.6276E-06,-1.331686,0.001008,ZERO,x Hz,50,314.159265359,3.6276E-06,-0.52127167,0.003539,,x kHz,1,6.283185307,3.6276E-06,1.40208116576878,0.0055498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y V,200,1256.63706143592,3.6276E-06,0.42603550,0.00510475,,y V,20,125.663706143592,3.6276E-06,0.937198,0.004732,,y V,40,251.327412287183,3.6276E-06,0.401337793,0.001373161,,y V,100,628.318530717959,3.6276E-06,0.67000000,0.00347479,ZERO,y V,2,12.5663706143592,3.6276E-06,0.22900000,0.00072135,ZERO,,,,y rad,40,251.32741229,3.6276E-06,-1.146681,0.005610,,y rad,100,628.318530718,3.6276E-06,-0.85928377,0.007149,,y rad,2,12.566370614,3.6276E-06,1.29910673990111,0.0081449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-12,300,1884.95559215388,3.6276E-06,0.29291498,0.00086606,,13-25,30,188.495559215388,3.6276E-06,0.975962,0.003879,,26-34,50,314.159265358979,3.6276E-06,0.478405316,0.001615218,,45-54,150,942.477796076938,3.6276E-06,0.51333333,0.00364788,,35-44,4,25.1327412287183,3.6276E-06,0.42772277,0.00125547,ZERO,,,,26-34,50,314.15926536,3.6276E-06,-1.039053,0.009308,,45-54,150,942.477796077,3.6276E-06,-1.07163216,0.011084,,35-44,4,25.132741229,3.6276E-06,1.11526539202438,0.0017453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,2513.27412287183,3.6276E-06,0.22591093,0.00067553,,,40,251.327412287183,3.6276E-06,0.992736,0.002416,,,60,376.991118430775,3.6276E-06,0.546357616,0.003390616,,,200,1256.63706143592,3.6276E-06,0.40000000,0.00119024,ZERO,,5,31.4159265358979,3.6276E-06,0.50657895,0.00331111,,,,,,60,376.99111843,3.6276E-06,-1.001819,0.005236,,,200,1256.637061436,3.6276E-06,-1.16238928,0.004618,,,5,31.415926536,3.6276E-06,1.00705497840073,0.0079981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,3141.59265358979,3.6276E-06,0.18440678,0.00122981,,,50,314.159265358979,3.6276E-06,1.004831,0.006249,,,80,502.654824574367,3.6276E-06,0.655000000,0.003450875,ZERO,,300,1884.95559215388,3.6276E-06,0.28000000,0.00085829,ZERO,,6,37.6991118430775,3.6276E-06,0.58250825,0.00234413,,,,,,80,502.65482457,3.6276E-06,-0.845903,0.011100,,,300,1884.955592154,3.6276E-06,-1.30317917,0.004971,,,6,37.699111843,3.6276E-06,0.915716080879692,0.0040724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600,3769.91118430775,3.6276E-06,0.15405405,0.00039156,,,60,376.991118430775,3.6276E-06,1.004831,0.006249,,,100,628.318530717959,3.6276E-06,0.730000000,0.003574097,ZERO,,500,3141.59265358979,3.6276E-06,0.17600000,0.00058435,ZERO,,8,50.2654824574367,3.6276E-06,0.68316832,0.00346148,ZERO,,,,,100,628.31853072,3.6276E-06,-0.728966,0.012957,,,500,3141.59265359,3.6276E-06,-1.43815130,0.005236,,,8,50.265482457,3.6276E-06,0.78597993981478,0.0120218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,700,4398.22971502571,3.6276E-06,0.13423729,0.00037141,,,70,439.822971502571,3.6276E-06,1.004808,0.002789,,,200,1256.63706143592,3.6276E-06,0.909395973,0.000304040,,,1000,6283.18530717959,3.6276E-06,0.09066667,0.00135878,,,40,251.327412287183,3.6276E-06,0.98349835,0.00433520,,,,,,200,1256.63706144,3.6276E-06,-0.388045,0.000582,,,1000,6283.18530718,3.6276E-06,-1.49516539,0.019496,,,40,251.327412287,3.6276E-06,0.140789892994209,0.0053939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,62.8318530717959,3.6276E-06,1.00396825,0.00865404,,,5,31.4159265358979,3.6276E-06,0.533007,0.003587,,,400,2513.27412287183,3.6276E-06,0.953020134,0.008759795,,,25,157.07963267949,3.6276E-06,0.95918367,0.00408167,ZERO,,30,188.495559215388,3.6276E-06,0.97029703,0.00398248,ZERO,,,,,400,2513.27412287,3.6276E-06,-0.150796,0.000101,ZERO,,25,157.079632679,3.6276E-06,-0.26761715,0.004072,,,30,188.495559215,3.6276E-06,0.201294640396679,0.0032392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,188.495559215388,3.6276E-06,0.95317726,0.00430718,,,2,12.5663706143592,3.6276E-06,0.242424,0.000765,,,500,3141.59265358979,3.6276E-06,0.973333333,0.004359579,,,10,62.8318530717959,3.6276E-06,0.98785425,0.00004917,,,20,125.663706143592,3.6276E-06,0.93069307,0.00390450,ZERO,,,,,500,3141.59265359,3.6276E-06,-0.131947,0.000175,,,10,62.831853072,3.6276E-06,-0.11728613,0.004189,,,20,125.663706144,3.6276E-06,0.366955475231808,0.0096488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,125.663706143592,3.6276E-06,0.98615917,0.00454133,,,3,18.8495559215388,3.6276E-06,0.371638,0.000952,,,,,,,,,,30,188.495559215388,3.6276E-06,0.94314381,0.00428240,,,50,314.159265358979,3.6276E-06,0.99009901,0.00402210,ZERO,,,,,,,,,,,,30,188.495559215,3.6276E-06,-0.31706815,0.007563,,,50,314.159265359,3.6276E-06,0.075049157835756,0.0062929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
