,x 1,xerr 1,y 1,yerr 1,,x 2,xerr 2,y 2,yerr 2,,x 3,xerr 3,y 3,yerr 3,,x 4,xerr 4,y 4,yerr 4,Latex,x 5,xerr 5,y 5,yerr 5,,x 6,xerr 6,y 6,yerr 6,,x 7,xerr 7,y 7,yerr 7,,x 8,xerr 8,y 8,yerr 8,,x 9,xerr 9,y 9,yerr 9,,x 10,xerr 10,y 10,yerr 10,,x 11,xerr 11,y 11,yerr 11,,xerr 12,y 12,yerr 12,,xerr 13,y 13,yerr 13,,xerr 14,y 14,yerr 14,,x 15,y 15,yerr 15,,x 16,y 16,yerr 16,,x 17,y 17,yerr 17,,x 18,y 18,yerr 18
,1,0,33.6,0.173205080756888,,70,1.73205080756888,62,2.44948974278318,,0.087266462599717,0.020153326269269,5,0.115470053837925,,,,,,onde staz,33.6,0.173205080756888,2.59999999999999,0.244948974278318,riflessione,70,1.73205080756888,62,2.44948974278318,polariz,0,0,1,0,brewster,20,0,16.5,0,Brewster 2,20,0,9.6,0,doppia fenditura,5,1.15470053837925,5,0.115470053837925,bragg,0,0,7.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,34.9,0.173205080756888,,60,1.73205080756888,57,2.44948974278318,,0.122173047639603,0.020153326269269,3.6,0.115470053837925,,,,,,,34.9,0.173205080756888,3,0.244948974278318,,60,1.73205080756888,57,2.44948974278318,,10,0,0.975609756097561,0,,25,0,42.8,0,,25,0,6.7,0,,7,1.15470053837925,3.6,0.115470053837925,,1,0,7.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,36.4,0.173205080756888,,50,1.73205080756888,50,2.44948974278318,,0.174532925199433,0.020153326269269,1.8,0.115470053837925,,,,,,,36.4,0.173205080756888,2,0.244948974278318,,50,1.73205080756888,50,2.44948974278318,,20,0,0.951219512195122,0,,30,0,43.4,0,,30,0,10,0,,10,1.15470053837925,1.8,0.115470053837925,,2,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0,37.4,0.173205080756888,,40,1.73205080756888,42,2.44948974278318,,0.261799387799149,0.020153326269269,1,0.115470053837925,,,,,,,37.4,0.173205080756888,3,0.244948974278318,,40,1.73205080756888,42,2.44948974278318,,30,0,0.878048780487805,0,,35,0,22.07,0,,35,0,8.03,0,,15,1.15470053837925,1,0.115470053837925,,3,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0,38.9,0.173205080756888,,30,1.73205080756888,29,2.44948974278318,,0.296705972839036,0.020153326269269,2.4,0.115470053837925,,,,,,,38.9,0.173205080756888,2.8,0.244948974278318,,30,1.73205080756888,29,2.44948974278318,,40,0,0.75609756097561,0,,40,0,19.55,0,,40,0,4.43,0,,17,1.15470053837925,2.4,0.115470053837925,,4,0,5.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0,40.3,0.173205080756888,,,,,,,0.349065850398866,0.020153326269269,4.8,0.115470053837925,,,,,,,40.3,0.173205080756888,3.40000000000001,0.244948974278318,,,,,,,50,0,0.634146341463415,0,,45,0,8.82,0,,45,0,4.113,0,,20,1.15470053837925,4.8,0.115470053837925,,5,0,5.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0,42,0.173205080756888,,,,,,,0.383972435438752,0.020153326269269,5.2,0.115470053837925,,,,,,,42,0.173205080756888,3,0.244948974278318,,,,,,,60,0,0.487804878048781,0,,50,0,30.98,0,,50,0,9.47,0,,22,1.15470053837925,5.2,0.115470053837925,,6,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0,43.5,0.173205080756888,,,,,,,0.436332312998582,0.020153326269269,4.8,0.115470053837925,,,,,,,43.5,0.173205080756888,2.8,0.244948974278318,,,,,,,70,0,0.268292682926829,0,,55,0,28.32,0,,55,0,12.7,0,,25,1.15470053837925,4.8,0.115470053837925,,7,0,4.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0,44.9,0.173205080756888,,,,,,,0.523598775598299,0.020153326269269,2.8,0.115470053837925,,,,,,,44.9,0.173205080756888,3.2,0.244948974278318,,,,,,,80,0,0.097560975609756,0,,60,0,24.6,0,,60,0,11.02,0,,30,1.15470053837925,2.8,0.115470053837925,,8,0,4.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,46.5,0.173205080756888,,,,,,,0.558505360638185,0.020153326269269,1.2,0.115470053837925,,,,,,,46.5,0.173205080756888,2.8,0.244948974278318,,,,,,,90,0,0,0,,,,,,,,,,,,32,1.15470053837925,1.2,0.034641016151378,,9,0,3.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
